name,slug,description,price,compareAtPrice,category,tags,inStock,inventory,weight,dimensions
"Elegant Pearl Necklace","elegant-pearl-necklace","A stunning handcrafted pearl necklace perfect for special occasions. Features genuine freshwater pearls with sterling silver clasp.",2999.00,3499.00,"Jewelry","necklace,pearl,elegant,handcrafted,sterling silver",TRUE,25,0.15,"45cm length"
"Vintage Leather Handbag","vintage-leather-handbag","Premium genuine leather handbag with vintage-inspired design. Multiple compartments for organization.",4599.00,5299.00,"Bags","handbag,leather,vintage,premium,women",TRUE,12,0.8,"35cm x 25cm x 15cm"
"Silk Scarf Collection","silk-scarf-collection","Luxurious 100% silk scarf with hand-painted floral patterns. Perfect accessory for any outfit.",1299.00,1599.00,"Accessories","scarf,silk,floral,luxury,handpainted",TRUE,30,0.1,"90cm x 90cm"
"Diamond Stud Earrings","diamond-stud-earrings","Classic diamond stud earrings in 18k white gold setting. Perfect for everyday elegance.",8999.00,10999.00,"Jewelry","earrings,diamond,gold,classic,elegant",TRUE,8,0.05,"6mm diameter"
"Designer Sunglasses","designer-sunglasses","UV protection designer sunglasses with polarized lenses and titanium frame.",3299.00,3999.00,"Accessories","sunglasses,designer,UV protection,polarized,titanium",TRUE,15,0.12,"Standard fit"
"Cashmere Wrap Shawl","cashmere-wrap-shawl","Ultra-soft 100% cashmere wrap shawl in neutral tones. Perfect for layering.",5499.00,6299.00,"Clothing","shawl,cashmere,wrap,soft,neutral",TRUE,18,0.3,"200cm x 70cm"
"Gold Chain Bracelet","gold-chain-bracelet","Delicate 14k gold chain bracelet with adjustable length. Minimalist design for everyday wear.",1899.00,2299.00,"Jewelry","bracelet,gold,chain,minimalist,adjustable",TRUE,22,0.08,"16-20cm adjustable"
"Embroidered Clutch Bag","embroidered-clutch-bag","Hand-embroidered evening clutch with beadwork details. Includes detachable chain strap.",2199.00,2699.00,"Bags","clutch,embroidered,evening,beadwork,chain strap",TRUE,10,0.4,"25cm x 15cm x 5cm"
"Pearl Drop Earrings","pearl-drop-earrings","Elegant pearl drop earrings with sterling silver hooks. Perfect for formal occasions.",1599.00,1999.00,"Jewelry","earrings,pearl,drop,sterling silver,formal",FALSE,0,0.06,"4cm drop length"
"Leather Belt Collection","leather-belt-collection","Genuine leather belt with brass buckle. Available in multiple colors and sizes.",899.00,1199.00,"Accessories","belt,leather,brass buckle,multiple colors",TRUE,35,0.25,"Various sizes available"
